# Every requirement id in OWASP ASVS 4.0.3, with the lowest level that
# requires it and the CWE the standard assigns.
#
# Parsed from https://github.com/OWASP/ASVS/tree/v4.0.3/4.0/en (the fourteen
# 0x**-V*.md chapter files).  Shipped rather than fetched so tools/check_docs.py
# can tell an ASVS requirement id from a version string or a Python version
# offline, and so docs/COMPLIANCE.md can be regenerated against a fixed list.
#
# id	level	cwe
1.1.1	2	
1.1.2	2	1053
1.1.3	2	1110
1.1.4	2	1059
1.1.5	2	1059
1.1.6	2	637
1.1.7	2	637
1.2.1	2	250
1.2.2	2	306
1.2.3	2	306
1.2.4	2	306
1.4.1	2	602
1.4.2	3	
1.4.3	3	
1.4.4	2	284
1.4.5	2	275
1.5.1	2	1029
1.5.2	2	502
1.5.3	2	602
1.5.4	2	116
1.6.1	2	320
1.6.2	2	320
1.6.3	2	320
1.6.4	2	320
1.7.1	2	1009
1.7.2	2	
1.8.1	2	
1.8.2	2	
1.9.1	2	319
1.9.2	2	295
1.10.1	2	284
1.11.1	2	1059
1.11.2	2	362
1.11.3	3	367
1.12.1	3	
1.12.2	2	646
1.14.1	2	923
1.14.2	2	494
1.14.3	2	1104
1.14.4	2	
1.14.5	2	265
1.14.6	2	477
2.1.1	1	521
2.1.2	1	521
2.1.3	1	521
2.1.4	1	521
2.1.5	1	620
2.1.6	1	620
2.1.7	1	521
2.1.8	1	521
2.1.9	1	521
2.1.10	1	263
2.1.11	1	521
2.1.12	1	521
2.2.1	1	307
2.2.2	1	304
2.2.3	1	620
2.2.4	3	308
2.2.5	3	319
2.2.6	3	308
2.2.7	3	308
2.3.1	1	330
2.3.2	2	308
2.3.3	2	287
2.4.1	2	916
2.4.2	2	916
2.4.3	2	916
2.4.4	2	916
2.4.5	2	916
2.5.1	1	640
2.5.2	1	640
2.5.3	1	640
2.5.4	1	16
2.5.5	1	304
2.5.6	1	640
2.5.7	2	308
2.6.1	2	308
2.6.2	2	330
2.6.3	2	310
2.7.1	1	287
2.7.2	1	287
2.7.3	1	287
2.7.4	1	523
2.7.5	2	256
2.7.6	2	310
2.8.1	1	613
2.8.2	2	320
2.8.3	2	326
2.8.4	2	287
2.8.5	2	287
2.8.6	2	613
2.8.7	3	308
2.9.1	2	320
2.9.2	2	330
2.9.3	2	327
2.10.1	3	287
2.10.2	3	255
2.10.3	3	522
2.10.4	3	798
3.1.1	1	598
3.2.1	1	384
3.2.2	1	331
3.2.3	1	539
3.2.4	2	331
3.3.1	1	613
3.3.2	3	613
